# Bulbe : BC95, IMF x= 1.35 Y=0.28 Z=0.02 Age 10.0 Gyr
Dist,Mv,CL,Typ,LTef,logg,Age,Mass,B-V,U-B,V-I,V-K,V,[Fe/H],l,b,Av,Mbol
0.016,14.2,5,7.65,3.484,5.04,7,0.15,1.79,1.495,3.117,5.468,15.228,-0.25,258.98001,40.35,0.0,12.416
0.016,13.9,5,7.65,3.49,5.04,7,0.16,1.712,1.407,3.024,5.398,14.866,-0.05,258.98001,40.35,0.0,12.148
0.016,11.0,5,7.3,3.542,4.9,5,0.4,1.423,1.096,2.198,4.262,12.051,0.19,258.98001,40.35,0.0,9.407
0.033,13.7,5,7.65,3.493,5.0,1,0.17,1.658,1.37,2.97,5.396,16.371,0.03,258.98001,40.35,0.014,11.948
0.033,11.8,5,7.4,3.527,4.93,5,0.29,1.495,1.152,2.446,4.637,14.461,0.02,258.98001,40.35,0.014,10.175
0.033,10.9,5,7.3,3.544,4.9,1,0.41,1.415,1.079,2.17,4.234,13.525,0.24,258.98001,40.35,0.014,9.339
0.033,10.8,5,7.3,3.546,4.86,3,0.41,1.518,1.145,2.141,4.275,13.471,-0.12,258.98001,40.35,0.014,9.207
0.033,8.9,5,7.0,3.59,4.72,6,0.6,1.404,1.242,1.734,3.722,11.534,-0.05,258.98001,40.35,0.014,7.466
0.052,12.6,5,7.5,3.513,5.01,1,0.24,1.622,1.28,2.638,4.849,16.113,-0.17,258.98001,40.35,0.027,10.944
0.052,12.1,5,7.4,3.522,4.97,4,0.28,1.503,1.196,2.543,4.777,15.762,0.04,258.98001,40.35,0.027,10.475
0.052,12.0,5,7.4,3.524,4.95,3,0.28,1.559,1.19,2.469,4.647,15.669,-0.13,258.98001,40.35,0.027,10.375
0.052,11.7,5,7.4,3.529,4.94,2,0.31,1.536,1.161,2.398,4.572,15.384,-0.08,258.98001,40.35,0.027,10.075
0.052,11.3,5,7.3,3.537,4.91,6,0.35,1.594,1.214,2.276,4.317,14.933,-0.4,258.98001,40.35,0.027,9.707
0.052,11.1,5,7.3,3.54,4.89,1,0.38,1.457,1.141,2.242,4.316,14.644,0.1,258.98001,40.35,0.027,9.507
0.052,11.1,5,7.3,3.54,4.89,2,0.38,1.513,1.132,2.216,4.423,14.702,-0.02,258.98001,40.35,0.027,9.507
0.052,11.0,5,7.3,3.542,4.89,5,0.39,1.534,1.151,2.198,4.334,14.676,-0.14,258.98001,40.35,0.027,9.407
0.052,8.4,5,6.9,3.604,4.7,4,0.64,1.365,1.249,1.626,3.528,11.959,-0.08,258.98001,40.35,0.027,7.03
0.071,11.5,5,7.3,3.533,4.92,3,0.33,1.482,1.166,2.369,4.561,15.8,0.05,258.98001,40.35,0.039,9.907
0.071,11.3,5,7.3,3.537,4.93,6,0.37,1.524,1.145,2.288,4.486,15.613,-0.03,258.98001,40.35,0.039,9.707
0.071,11.1,5,7.3,3.54,4.89,7,0.38,1.596,1.212,2.256,4.235,15.347,-0.45,258.98001,40.35,0.039,9.507
0.071,10.8,5,7.3,3.546,4.89,6,0.42,1.506,1.137,2.136,4.335,15.154,0.01,258.98001,40.35,0.039,9.239
0.071,9.1,5,7.0,3.585,4.77,4,0.58,1.392,1.266,1.793,3.651,13.442,0.19,258.98001,40.35,0.039,7.666
0.071,8.6,5,7.0,3.598,4.7,5,0.61,1.385,1.28,1.682,3.57,13.001,0.03,258.98001,40.35,0.039,7.198
0.071,8.6,5,7.0,3.598,4.71,6,0.62,1.384,1.235,1.682,3.578,12.827,-0.15,258.98001,40.35,0.039,7.198
0.071,5.7,5,6.0,3.712,4.54,3,0.91,0.854,0.495,0.88,2.064,10.095,-0.13,258.98001,40.35,0.039,4.92
0.071,5.1,5,5.5,3.745,4.48,4,0.99,0.717,0.252,0.78,1.732,9.446,0.05,258.98001,40.35,0.039,4.415
0.071,4.8,5,5.3,3.76,4.43,5,1.02,0.639,0.094,0.715,1.583,9.162,-0.12,258.98001,40.35,0.039,4.147
0.071,4.5,5,5.0,3.77,4.43,3,1.1,0.608,0.072,0.677,1.512,8.905,-0.05,258.98001,40.35,0.039,3.879
0.071,11.0,5,7.16,3.566,5.03,8,0.26,1.504,1.196,2.328,3.814,15.252,-0.47,258.98001,40.35,0.039,9.642
0.091,10.2,5,7.2,3.559,4.85,5,0.48,1.417,1.157,2.037,4.069,15.107,0.23,258.98001,40.35,0.05,8.671
0.091,8.6,5,7.0,3.598,4.71,6,0.62,1.383,1.215,1.689,3.535,13.468,-0.25,258.98001,40.35,0.05,7.198
0.091,6.8,5,6.4,3.66,4.62,6,0.78,1.183,1.198,1.183,2.701,11.604,0.34,258.98001,40.35,0.05,5.695
0.091,5.4,5,5.8,3.728,4.48,7,0.89,0.754,0.253,0.837,1.918,10.328,-0.38,258.98001,40.35,0.05,4.651
0.091,2.5,4,4.6,3.82,3.95,3,1.55,0.442,0.013,0.494,1.022,7.418,-0.03,258.98001,40.35,0.05,2.087
0.111,10.1,5,7.2,3.561,4.83,2,0.49,1.461,1.188,2.011,4.066,15.482,0.06,258.98001,40.35,0.06,8.571
0.111,10.1,5,7.2,3.561,4.83,6,0.49,1.502,1.194,2.022,4.08,15.314,-0.18,258.98001,40.35,0.06,8.571
0.111,9.9,5,7.2,3.565,4.79,4,0.51,1.422,1.198,1.971,3.978,15.274,0.19,258.98001,40.35,0.06,8.371
0.111,9.7,5,7.15,3.57,4.79,2,0.53,1.469,1.222,1.913,4.041,15.002,-0.03,258.98001,40.35,0.06,8.203
0.111,9.4,5,7.1,3.577,4.76,6,0.55,1.462,1.212,1.873,3.74,14.717,-0.35,258.98001,40.35,0.06,7.934
0.111,9.1,5,7.1,3.585,4.72,1,0.57,1.433,1.251,1.793,3.843,14.454,-0.04,258.98001,40.35,0.06,7.634
0.111,9.1,5,7.0,3.585,4.77,5,0.58,1.428,1.254,1.794,3.815,14.287,0.02,258.98001,40.35,0.06,7.666
0.111,9.0,5,7.0,3.587,4.75,7,0.59,1.419,1.162,1.774,3.512,14.239,-0.58,258.98001,40.35,0.06,7.566
0.111,8.8,5,7.0,3.593,4.7,7,0.6,1.405,1.22,1.739,3.612,14.011,-0.25,258.98001,40.35,0.06,7.366
0.111,8.4,5,6.9,3.604,4.7,2,0.64,1.366,1.302,1.648,3.357,13.768,0.09,258.98001,40.35,0.06,7.03
0.111,8.3,5,6.9,3.607,4.68,3,0.65,1.363,1.289,1.615,3.426,13.665,0.05,258.98001,40.35,0.06,6.93
0.111,7.8,5,6.7,3.623,4.66,3,0.69,1.302,1.218,1.454,3.273,13.088,-0.08,258.98001,40.35,0.06,6.493
0.111,6.8,5,6.4,3.66,4.62,7,0.78,1.122,0.977,1.154,2.67,12.06,-0.24,258.98001,40.35,0.06,5.695
0.111,5.7,5,6.0,3.712,4.51,5,0.85,0.863,0.505,0.888,2.083,11.015,-0.11,258.98001,40.35,0.06,4.92
0.111,4.7,5,5.2,3.77,4.48,2,1.1,0.615,0.077,0.686,1.532,9.958,-0.05,258.98001,40.35,0.06,4.079
0.111,2.9,4,4.8,3.79,3.94,4,1.44,0.555,0.063,0.608,1.342,8.129,0.06,258.98001,40.35,0.06,2.415
0.111,8.0,5,6.64,3.638,4.75,8,0.57,1.162,0.869,1.305,2.821,13.3,-0.91,258.98001,40.35,0.06,7.368
0.111,3.6,4,4.69,3.777,3.97,8,0.92,0.502,-0.145,0.659,1.511,8.941,-1.03,258.98001,40.35,0.06,3.507
0.131,9.4,5,7.1,3.577,4.77,5,0.56,1.393,1.255,1.86,3.866,15.14,0.3,258.98001,40.35,0.069,7.934
0.131,9.4,5,7.1,3.577,4.77,6,0.56,1.424,1.252,1.861,3.775,15.024,0.11,258.98001,40.35,0.069,7.934
0.131,9.1,5,7.0,3.585,4.77,3,0.58,1.418,1.262,1.802,3.715,14.714,0.07,258.98001,40.35,0.069,7.666
0.131,8.5,5,7.0,3.601,4.68,7,0.62,1.381,1.234,1.672,3.538,14.208,-0.21,258.98001,40.35,0.069,7.098
0.131,8.5,5,7.0,3.601,4.68,4,0.63,1.394,1.287,1.669,3.652,14.172,0.0,258.98001,40.35,0.069,7.098
0.131,8.4,5,6.9,3.604,4.69,3,0.63,1.379,1.263,1.644,3.571,14.104,-0.07,258.98001,40.35,0.069,7.03
0.131,7.6,5,6.5,3.63,4.65,4,0.7,1.267,1.166,1.39,3.122,13.241,-0.17,258.98001,40.35,0.069,6.325
0.131,6.2,5,6.2,3.687,4.57,5,0.81,0.987,0.753,0.98,2.344,11.925,-0.18,258.98001,40.35,0.069,5.29
0.131,6.0,5,6.1,3.697,4.57,7,0.87,0.952,0.7,0.942,2.232,11.739,-0.03,258.98001,40.35,0.069,5.155
0.131,5.0,5,5.5,3.75,4.45,7,0.95,0.677,0.13,0.769,1.714,10.701,-0.25,258.98001,40.35,0.069,4.315
0.131,5.4,5,5.6,3.728,4.54,2,0.97,0.796,0.387,0.846,1.94,11.046,-0.01,258.98001,40.35,0.069,4.683
0.131,5.2,5,5.5,3.74,4.52,2,0.99,0.764,0.342,0.821,1.82,10.903,0.14,258.98001,40.35,0.069,4.515
0.131,4.7,5,5.3,3.76,4.43,5,1.03,0.659,0.129,0.727,1.608,10.377,-0.02,258.98001,40.35,0.069,4.047
0.131,4.6,5,5.1,3.77,4.42,5,1.06,0.63,0.115,0.692,1.534,10.19,0.07,258.98001,40.35,0.069,3.979
0.131,3.5,5,4.7,3.79,4.13,5,1.21,0.546,0.027,0.612,1.357,9.107,-0.07,258.98001,40.35,0.069,2.942
0.131,3.6,5,4.8,3.78,4.14,5,1.24,0.561,-0.003,0.651,1.464,9.177,-0.25,258.98001,40.35,0.069,3.01
0.131,9.0,5,6.88,3.606,4.85,8,0.49,1.276,0.847,1.708,3.131,14.622,-1.64,258.98001,40.35,0.069,8.101
0.156,8.9,5,7.0,3.59,4.72,2,0.6,1.414,1.275,1.762,3.698,14.938,0.05,258.98001,40.35,0.076,7.466
0.156,8.9,5,7.0,3.59,4.72,6,0.6,1.425,1.267,1.758,3.808,14.991,0.0,258.98001,40.35,0.076,7.466
0.156,8.6,5,7.0,3.598,4.7,7,0.61,1.381,1.177,1.704,3.447,14.612,-0.44,258.98001,40.35,0.076,7.198
0.156,8.5,5,7.0,3.601,4.68,2,0.62,1.389,1.299,1.675,3.554,14.492,0.04,258.98001,40.35,0.076,7.098
0.156,8.3,5,6.9,3.607,4.67,4,0.64,1.368,1.253,1.618,3.517,14.368,-0.1,258.98001,40.35,0.076,6.93
0.156,8.3,5,6.9,3.607,4.68,2,0.65,1.359,1.336,1.627,3.326,14.388,0.21,258.98001,40.35,0.076,6.93
