# Bulbe : BC95, IMF x= 1.35 Y=0.28 Z=0.02 Age 10.0 Gyr
Dist,Mv,CL,Typ,LTef,logg,Age,Mass,B-V,U-B,V-I,V-K,V,[Fe/H],l,b,Av,Mbol
0.016,12.8,5,7.5,3.509,4.99,7,0.22,1.598,1.257,2.704,4.928,13.9,-0.07,39.28,34.16,0.0,11.112
0.016,9.1,5,7.1,3.585,4.72,5,0.57,1.414,1.235,1.768,3.788,10.187,-0.04,39.28,34.16,0.0,7.634
0.016,7.7,5,6.7,3.626,4.63,5,0.68,1.24,1.103,1.39,3.02,8.762,-0.34,39.28,34.16,0.0,6.393
0.033,13.6,5,7.65,3.495,5.0,2,0.18,1.682,1.359,2.938,5.27,16.29,-0.08,39.28,34.16,0.014,11.848
0.033,11.2,5,7.3,3.539,4.89,2,0.36,1.502,1.127,2.246,4.444,13.728,0.01,39.28,34.16,0.014,9.607
0.033,10.9,5,7.3,3.544,4.9,7,0.41,1.564,1.18,2.208,4.176,13.456,-0.38,39.28,34.16,0.014,9.339
0.033,10.7,5,7.3,3.548,4.87,2,0.43,1.526,1.16,2.136,4.204,13.343,-0.21,39.28,34.16,0.014,9.139
0.033,7.1,5,6.5,3.648,4.64,5,0.75,1.148,0.986,1.224,2.762,9.801,-0.4,39.28,34.16,0.014,5.93
0.052,12.1,5,7.4,3.522,4.96,1,0.27,1.433,1.237,2.566,4.924,15.622,0.19,39.28,34.16,0.027,10.475
0.052,11.7,5,7.4,3.529,4.95,1,0.32,1.439,1.204,2.443,4.668,15.361,0.11,39.28,34.16,0.027,10.075
0.052,11.6,5,7.4,3.531,4.91,3,0.32,1.511,1.136,2.382,4.573,15.15,-0.01,39.28,34.16,0.027,9.975
0.052,11.1,5,7.3,3.54,4.89,6,0.38,1.58,1.197,2.246,4.255,14.683,-0.38,39.28,34.16,0.027,9.507
0.052,11.1,5,7.3,3.54,4.91,2,0.39,1.539,1.157,2.227,4.361,14.67,-0.15,39.28,34.16,0.027,9.507
0.052,9.8,5,7.15,3.568,4.81,5,0.52,1.462,1.205,1.921,4.055,13.312,-0.01,39.28,34.16,0.027,8.303
0.052,8.5,5,7.0,3.601,4.68,5,0.63,1.364,1.209,1.656,3.469,12.016,-0.26,39.28,34.16,0.027,7.098
0.052,7.6,5,6.5,3.63,4.66,6,0.71,1.274,1.267,1.388,2.997,11.276,0.15,39.28,34.16,0.027,6.325
0.052,5.3,5,5.6,3.734,4.5,4,0.96,0.751,0.3,0.811,1.843,8.85,-0.08,39.28,34.16,0.027,4.583
0.052,5.0,5,5.5,3.75,4.47,4,1.0,0.702,0.239,0.761,1.674,8.588,0.12,39.28,34.16,0.027,4.315
0.052,4.1,5,4.8,3.78,4.33,5,1.14,0.563,0.021,0.634,1.425,7.797,-0.1,39.28,34.16,0.027,3.51
0.071,11.4,5,7.3,3.535,4.93,2,0.35,1.527,1.149,2.319,4.512,15.63,-0.04,39.28,34.16,0.039,9.807
0.071,10.9,5,7.3,3.544,4.9,7,0.41,1.596,1.202,2.217,4.126,15.281,-0.55,39.28,34.16,0.039,9.339
0.071,10.9,5,7.3,3.544,4.87,2,0.41,1.548,1.163,2.19,4.274,15.164,-0.22,39.28,34.16,0.039,9.307
0.071,10.7,5,7.3,3.548,4.87,7,0.43,1.549,1.18,2.164,4.172,14.991,-0.31,39.28,34.16,0.039,9.139
0.071,10.5,5,7.3,3.552,4.86,5,0.45,1.513,1.168,2.094,4.208,14.84,-0.13,39.28,34.16,0.039,8.939
0.071,10.3,5,7.2,3.557,4.84,4,0.47,1.435,1.157,2.054,4.055,14.604,0.14,39.28,34.16,0.039,8.771
0.071,9.9,5,7.2,3.565,4.79,2,0.51,1.474,1.2,1.954,4.066,14.289,-0.06,39.28,34.16,0.039,8.371
0.071,9.1,5,7.0,3.585,4.77,4,0.58,1.409,1.254,1.79,3.693,13.436,0.07,39.28,34.16,0.039,7.666
0.071,8.7,5,7.0,3.595,4.7,7,0.61,1.387,1.201,1.71,3.525,13.04,-0.31,39.28,34.16,0.039,7.298
0.071,7.4,5,6.5,3.637,4.62,5,0.72,1.217,1.094,1.323,2.954,11.715,-0.27,39.28,34.16,0.039,6.125
0.071,5.1,5,5.5,3.745,4.48,3,0.99,0.714,0.241,0.777,1.733,9.408,0.02,39.28,34.16,0.039,4.415
0.091,10.2,5,7.2,3.559,4.85,2,0.48,1.491,1.181,2.022,4.186,14.996,-0.03,39.28,34.16,0.051,8.671
0.091,10.0,5,7.2,3.563,4.81,3,0.5,1.469,1.195,1.979,4.102,14.869,0.02,39.28,34.16,0.051,8.471
0.091,9.9,5,7.2,3.565,4.79,7,0.51,1.48,1.203,1.962,4.062,14.772,-0.09,39.28,34.16,0.051,8.371
0.091,9.5,5,7.1,3.575,4.79,4,0.55,1.408,1.242,1.872,3.848,14.36,0.22,39.28,34.16,0.051,8.034
0.091,9.0,5,7.0,3.587,4.75,2,0.59,1.414,1.26,1.772,3.733,13.933,0.04,39.28,34.16,0.051,7.566
0.091,8.0,5,6.7,3.616,4.65,2,0.66,1.324,1.297,1.526,3.177,12.787,0.13,39.28,34.16,0.051,6.662
0.091,5.5,5,5.8,3.723,4.51,4,0.95,0.835,0.491,0.864,1.982,10.274,0.14,39.28,34.16,0.051,4.751
0.091,4.0,5,4.7,3.8,4.37,2,1.22,0.547,0.081,0.571,1.229,8.77,0.27,39.28,34.16,0.051,3.474
0.111,10.3,5,7.2,3.557,4.81,6,0.46,1.529,1.194,2.086,4.066,15.554,-0.32,39.28,34.16,0.062,8.739
0.111,10.0,5,7.2,3.563,4.81,1,0.5,1.49,1.199,1.991,4.097,15.263,-0.1,39.28,34.16,0.062,8.471
0.111,9.9,5,7.2,3.565,4.79,1,0.51,1.466,1.206,1.961,4.069,15.218,0.03,39.28,34.16,0.062,8.371
0.111,9.5,5,7.15,3.575,4.76,7,0.54,1.478,1.197,1.89,3.667,14.762,-0.55,39.28,34.16,0.062,8.003
0.111,9.0,5,7.0,3.587,4.74,5,0.58,1.427,1.246,1.776,3.784,14.277,-0.08,39.28,34.16,0.062,7.566
0.111,6.5,5,6.3,3.673,4.57,5,0.78,1.062,0.906,1.052,2.509,11.789,-0.15,39.28,34.16,0.062,5.46
0.111,6.2,5,6.2,3.687,4.59,2,0.85,1.03,0.914,1.004,2.357,11.563,0.24,39.28,34.16,0.062,5.29
0.111,5.9,5,6.1,3.701,4.56,2,0.89,0.919,0.63,0.92,2.173,11.243,-0.07,39.28,34.16,0.062,5.055
0.111,5.6,5,5.8,3.717,4.53,5,0.89,0.888,0.62,0.897,2.044,10.843,0.32,39.28,34.16,0.062,4.851
0.111,5.1,5,5.5,3.745,4.49,2,1.01,0.727,0.269,0.792,1.753,10.344,0.08,39.28,34.16,0.062,4.415
0.111,4.4,5,5.0,3.78,4.41,3,1.12,0.593,0.08,0.648,1.448,9.624,0.09,39.28,34.16,0.062,3.81
0.111,9.8,5,7.01,3.588,4.93,8,0.4,1.411,1.112,1.963,3.462,15.034,-0.79,39.28,34.16,0.062,8.713
0.131,9.5,5,7.1,3.575,4.79,5,0.55,1.464,1.236,1.876,3.956,15.071,-0.08,39.28,34.16,0.072,8.034
0.131,9.4,5,7.1,3.577,4.77,7,0.56,1.47,1.189,1.865,3.641,14.971,-0.58,39.28,34.16,0.072,7.934
0.131,9.0,5,7.0,3.587,4.75,7,0.59,1.429,1.232,1.785,3.736,14.598,-0.17,39.28,34.16,0.072,7.566
0.131,8.1,5,6.7,3.613,4.66,6,0.65,1.343,1.24,1.556,3.423,13.767,-0.1,39.28,34.16,0.072,6.762
0.131,8.0,5,6.7,3.616,4.65,4,0.66,1.329,1.228,1.524,3.367,13.56,-0.11,39.28,34.16,0.072,6.662
0.131,7.5,5,6.5,3.633,4.62,3,0.7,1.273,1.216,1.369,3.151,13.177,-0.01,39.28,34.16,0.072,6.225
0.131,7.4,5,6.5,3.637,4.62,7,0.71,1.203,1.022,1.33,2.899,12.97,-0.49,39.28,34.16,0.072,6.125
0.131,7.3,5,6.5,3.641,4.64,6,0.73,1.243,1.179,1.317,3.016,12.95,-0.02,39.28,34.16,0.072,6.065
0.131,7.1,5,6.5,3.648,4.59,7,0.73,1.167,1.004,1.246,2.816,12.836,-0.39,39.28,34.16,0.072,5.865
0.131,6.8,5,6.4,3.66,4.62,4,0.78,1.158,1.103,1.177,2.706,12.457,0.09,39.28,34.16,0.072,5.695
0.131,6.7,5,6.4,3.664,4.59,6,0.78,1.119,0.996,1.129,2.634,12.268,-0.11,39.28,34.16,0.072,5.595
0.131,6.5,5,6.3,3.673,4.58,6,0.8,1.059,0.889,1.054,2.516,12.111,-0.2,39.28,34.16,0.072,5.46
0.131,6.3,5,6.3,3.682,4.56,7,0.82,0.992,0.739,0.995,2.396,11.885,-0.37,39.28,34.16,0.072,5.325
0.131,6.1,5,6.2,3.692,4.56,2,0.85,1.007,0.86,0.985,2.304,11.712,0.24,39.28,34.16,0.072,5.19
0.131,6.1,5,6.2,3.692,4.56,6,0.85,0.987,0.783,0.97,2.298,11.799,0.05,39.28,34.16,0.072,5.19
0.131,5.7,5,6.0,3.712,4.54,3,0.9,0.878,0.554,0.896,2.097,11.407,0.01,39.28,34.16,0.072,4.92
0.131,5.6,5,5.8,3.717,4.55,7,0.93,0.853,0.507,0.883,2.052,11.21,0.03,39.28,34.16,0.072,4.851
0.131,5.5,5,5.8,3.723,4.51,4,0.95,0.819,0.426,0.863,2.0,11.231,-0.03,39.28,34.16,0.072,4.751
0.131,4.7,5,5.3,3.76,4.41,6,0.99,0.626,0.034,0.728,1.617,10.441,-0.35,39.28,34.16,0.072,4.047
0.131,4.3,5,5.0,3.76,4.26,7,1.01,0.657,0.122,0.728,1.608,9.957,-0.05,39.28,34.16,0.072,3.647
0.131,4.6,5,5.1,3.77,4.42,5,1.06,0.625,0.097,0.691,1.54,10.193,0.01,39.28,34.16,0.072,3.979
0.131,2.0,3,6.2,3.67,2.97,5,1.3,1.141,1.011,1.044,2.521,7.674,0.02,39.28,34.16,0.072,0.989
0.131,3.2,4,5.4,3.71,3.67,5,1.36,0.915,0.598,0.896,2.092,8.94,0.11,39.28,34.16,0.072,2.376
0.131,1.5,5,3.2,3.96,4.21,2,2.14,0.055,0.05,0.062,0.153,7.135,0.08,39.28,34.16,0.072,1.483
0.151,9.2,5,7.1,3.582,4.74,2,0.57,1.408,1.274,1.829,3.744,15.212,0.2,39.28,34.16,0.081,7.734
0.151,9.1,5,7.0,3.585,4.77,3,0.58,1.437,1.258,1.801,3.86,15.033,0.01,39.28,34.16,0.081,7.666
0.151,9.0,5,7.0,3.587,4.75,7,0.59,1.43,1.217,1.794,3.679,14.927,-0.28,39.28,34.16,0.081,7.566
0.151,8.1,5,6.7,3.613,4.66,7,0.66,1.308,1.102,1.551,3.194,14.141,-0.55,39.28,34.16,0.081,6.762
0.151,7.6,5,6.5,3.63,4.64,5,0.69,1.29,1.249,1.403,3.146,13.619,0.04,39.28,34.16,0.081,6.325
0.151,7.4,5,6.5,3.637,4.61,4,0.7,1.263,1.237,1.356,2.977,13.369,0.1,39.28,34.16,0.081,6.125
0.151,7.3,5,6.5,3.641,4.63,2,0.72,1.23,1.133,1.317,2.983,13.209,-0.15,39.28,34.16,0.081,6.065
0.151,6.8,5,6.4,3.66,4.61,4,0.76,1.147,1.04,1.168,2.698,12.856,-0.09,39.28,34.16,0.081,5.695
0.151,6.5,5,6.3,3.673,4.56,7,0.77,1.04,0.825,1.05,2.515,12.413,-0.38,39.28,34.16,0.081,5.46
0.151,6.6,5,6.3,3.669,4.6,2,0.79,1.151,1.148,1.129,2.617,12.529,0.36,39.28,34.16,0.081,5.56
0.151,5.7,5,6.0,3.712,4.53,5,0.88,0.877,0.542,0.898,2.104,11.648,-0.03,39.28,34.16,0.081,4.92
0.151,5.6,5,5.8,3.717,4.53,2,0.88,0.85,0.486,0.883,2.058,11.507,-0.02,39.28,34.16,0.081,4.851
0.151,5.9,5,6.1,3.701,4.56,5,0.89,0.93,0.652,0.928,2.192,11.774,-0.02,39.28,34.16,0.081,5.055
0.151,5.5,5,5.8,3.723,4.51,7,0.94,0.809,0.381,0.866,2.005,11.412,-0.17,39.28,34.16,0.081,4.751
0.151,5.5,5,5.8,3.723,4.51,2,0.95,0.864,0.556,0.884,2.008,11.498,0.29,39.28,34.16,0.081,4.751
0.151,4.8,5,5.3,3.76,4.44,5,1.03,0.658,0.119,0.732,1.62,10.75,-0.07,39.28,34.16,0.081,4.147
0.151,3.9,4,5.1,3.75,4.04,7,1.04,0.684,0.145,0.774,1.718,9.779,-0.21,39.28,34.16,0.081,3.263
0.151,4.8,5,5.3,3.76,4.45,3,1.06,0.683,0.201,0.742,1.611,10.76,0.18,39.28,34.16,0.081,4.147
0.151,4.8,5,5.3,3.76,4.45,2,1.07,0.676,0.175,0.741,1.617,10.827,0.11,39.28,34.16,0.081,4.147
0.151,2.8,5,4.2,3.84,4.16,2,1.5,0.39,-0.006,0.432,0.881,8.812,-0.11,39.28,34.16,0.081,2.401
0.151,6.6,5,6.12,3.705,4.67,8,0.68,0.83,0.305,0.9,2.138,12.596,-0.97,39.28,34.16,0.081,6.31
0.176,8.9,5,7.0,3.59,4.72,3,0.59,1.424,1.274,1.765,3.771,15.232,0.02,39.28,34.16,0.088,7.466
0.176,8.9,5,7.0,3.59,4.72,4,0.59,1.427,1.252,1.767,3.76,15.255,-0.1,39.28,34.16,0.088,7.466
0.176,8.8,5,7.0,3.593,4.72,5,0.6,1.397,1.301,1.752,3.542,15.136,0.14,39.28,34.16,0.088,7.398
0.176,8.8,5,7.0,3.593,4.73,6,0.61,1.402,1.29,1.751,3.554,15.033,0.09,39.28,34.16,0.088,7.398
0.176,8.6,5,7.0,3.598,4.71,5,0.62,1.378,1.337,1.706,3.479,14.828,0.26,39.28,34.16,0.088,7.198
0.176,8.5,5,7.0,3.601,4.68,4,0.63,1.395,1.269,1.678,3.621,14.764,-0.09,39.28,34.16,0.088,7.098
0.176,8.5,5,6.9,3.601,4.7,4,0.63,1.379,1.342,1.686,3.413,14.799,0.21,39.28,34.16,0.088,7.13
0.176,8.4,5,6.9,3.604,4.7,6,0.64,1.373,1.219,1.653,3.49,14.751,-0.25,39.28,34.16,0.088,7.03
0.176,8.3,5,6.9,3.607,4.68,5,0.65,1.377,1.288,1.624,3.542,14.692,0.02,39.28,34.16,0.088,6.93
0.176,8.0,5,6.7,3.616,4.65,2,0.66,1.337,1.241,1.531,3.396,14.288,-0.08,39.28,34.16,0.088,6.662
0.176,7.9,5,6.7,3.62,4.64,2,0.67,1.331,1.266,1.5,3.367,14.255,0.01,39.28,34.16,0.088,6.562
0.176,7.8,5,6.7,3.623,4.65,5,0.67,1.289,1.152,1.463,3.178,14.186,-0.29,39.28,34.16,0.088,6.493
0.176,7.8,5,6.7,3.623,4.66,5,0.68,1.316,1.282,1.476,3.14,14.133,0.09,39.28,34.16,0.088,6.493
0.176,7.8,5,6.7,3.623,4.66,7,0.69,1.296,1.174,1.464,3.214,14.182,-0.23,39.28,34.16,0.088,6.493
0.176,7.6,5,6.5,3.63,4.65,2,0.7,1.293,1.283,1.412,3.052,13.834,0.15,39.28,34.16,0.088,6.325
0.176,7.6,5,6.5,3.63,4.66,4,0.71,1.293,1.259,1.41,3.094,13.986,0.07,39.28,34.16,0.088,6.325
0.176,7.5,5,6.5,3.633,4.63,2,0.71,1.279,1.233,1.38,3.117,13.796,0.03,39.28,34.16,0.088,6.225
0.176,7.4,5,6.5,3.637,4.62,2,0.72,1.259,1.19,1.349,3.086,13.779,-0.05,39.28,34.16,0.088,6.125
0.176,7.1,5,6.5,3.648,4.59,2,0.74,1.219,1.168,1.27,2.883,13.427,0.04,39.28,34.16,0.088,5.865
0.176,6.5,5,6.3,3.673,4.57,3,0.79,1.107,1.041,1.087,2.551,12.799,0.19,39.28,34.16,0.088,5.46
0.176,6.3,5,6.3,3.682,4.55,4,0.8,1.038,0.87,1.014,2.425,12.604,-0.01,39.28,34.16,0.088,5.325
0.176,6.2,5,6.3,3.687,4.52,2,0.8,1.015,0.825,0.993,2.368,12.523,0.01,39.28,34.16,0.088,5.225
